trade_dt,000001.sz,000002.sz,000004.sz,000005.sz,000006.sz,000007.sz,000008.sz,000009.sz,000010.sz,000011.sz,000012.sz,000014.sz,000016.sz,000017.sz,000018.sz,000019.sz,000020.sz,000021.sz,000023.sz,000025.sz,000026.sz,000027.sz,000028.sz,000029.sz,000030.sz,000031.sz,000032.sz,000034.sz,000035.sz,000036.sz,000037.sz,000038.sz,000039.sz,000040.sz,000042.sz,000045.sz,000046.sz,000048.sz,000049.sz,000050.sz,000055.sz,000056.sz,000058.sz,000059.sz,000060.sz,000061.sz,000062.sz,000063.sz,000065.sz,000066.sz,000068.sz,000069.sz,000070.sz,000078.sz,000088.sz,000089.sz,000090.sz,000096.sz,000099.sz,000100.sz,000150.sz,000151.sz,000153.sz,000155.sz,000156.sz,000157.sz,000158.sz,000159.sz,000166.sz,000301.sz,000333.sz,000338.sz,000400.sz,000401.sz,000402.sz,000403.sz,000404.sz,000407.sz,000408.sz,000409.sz,000410.sz,000411.sz,000413.sz,000415.sz,000416.sz,000417.sz,000418.sz,000419.sz,000420.sz,000421.sz,000422.sz,000423.sz,000425.sz,000426.sz,000428.sz,000429.sz,000430.sz,000488.sz,000498.sz,000501.sz
2018-01-02,871.1825,4318.09,90.58,38.46,327.21,138.0,192.96,53.33,57.97,57.33,170.8,57.97,124.5583,16.58,41.4,49.25,24.84,135.38,53.96,71.83,81.11,80.16,234.13,24.16,18.17,111.04,41.22,63.95,30.99,64.67,39.61,59.87,539.48,60.29,208.83,28.66,235.61,118.56,212.51,162.93,55.52,62.1,23.73,14.97,266.45,161.49,112.76,575.93,179.38,77.87,11.6,314.81,26.85,118.4986,55.7,59.72,42.46,34.66,33.95,11.33,61.31,32.73,44.03,9.45,11.17,289.12,23.32,16.76,7.51,11.54,241.31,148.74,100.19,52.97,370.58,125.25,20.67,84.02,100.57,11.29,29.47,50.48,42.01,119.4,67.36,128.51,189.9,84.57,19.95,41.27,60.18,576.77,172.94,167.33,50.5,25.43,39.44,93.26,17.93,102.68
2018-01-03,895.9802,4462.25,91.11,40.31,327.21,138.0,193.4,53.69,58.94,57.94,175.72,58.88,125.9971,16.87,41.07,49.25,25.37,135.38,54.86,73.09,81.03,80.56,240.46,24.16,18.19,111.04,42.29,63.95,30.99,67.26,39.84,59.73,541.14,59.65,211.4,28.75,238.76,118.68,212.45,164.91,56.35,62.1,23.99,15.8,269.29,163.18,113.82,562.51,180.77,75.95,12.26,329.99,26.71,119.3034,56.14,60.06,43.64,34.92,34.37,11.39,60.67,33.28,44.14,9.66,11.17,294.97,23.64,16.98,7.48,11.76,243.07,154.44,100.49,52.97,375.89,125.93,20.67,84.45,100.51,11.83,29.61,51.92,42.63,122.7,67.93,128.35,188.23,85.55,20.07,41.67,61.22,586.63,173.69,169.86,50.25,25.49,39.76,97.42,18.49,104.8
2018-01-04,869.2248,4497.95,96.72,39.57,327.21,138.0,192.3,55.16,59.8,58.42,180.02,59.04,127.6414,16.95,43.06,49.25,26.19,134.96,55.04,73.62,81.11,80.96,235.22,24.16,18.15,111.04,42.04,63.95,30.99,66.4,40.57,61.65,534.74,59.44,214.89,29.07,242.24,118.03,221.56,164.09,56.9,62.1,24.18,16.36,262.9,162.13,115.74,574.19,181.06,76.06,12.26,332.21,27.19,120.1081,57.45,59.99,43.89,35.26,34.86,11.62,60.75,33.57,44.87,9.72,11.17,293.67,24.61,17.21,7.49,11.72,240.75,152.84,102.23,52.97,375.56,127.32,20.67,85.0,102.67,12.97,29.7,51.59,42.72,124.35,70.29,129.65,186.23,85.55,20.14,41.73,61.81,596.48,174.06,173.24,50.5,25.49,40.13,96.69,18.47,106.59
2018-01-05,862.0465,4528.16,94.4,39.48,327.21,138.0,191.41,56.12,59.04,58.45,177.97,59.64,129.6968,16.87,42.19,49.25,25.63,135.51,55.38,73.54,80.46,81.22,232.89,24.16,18.17,111.04,42.21,63.95,30.99,66.11,40.69,60.67,536.16,58.83,214.89,29.07,239.08,118.56,223.63,164.09,57.45,62.1,24.15,16.84,267.63,162.34,115.31,579.4,186.22,77.66,12.24,335.18,27.19,121.114,59.28,59.58,43.64,36.95,34.86,11.59,60.33,33.47,44.92,9.78,11.17,292.37,24.05,17.27,7.45,11.83,247.54,154.8,101.4,52.97,372.24,127.99,20.54,84.78,102.67,13.55,30.42,52.03,43.62,123.32,69.81,129.65,186.57,86.52,20.26,41.8,62.55,599.07,173.32,174.59,50.62,25.4,39.94,98.32,18.89,107.11
2018-01-08,864.6568,4820.6,93.92,39.76,327.21,138.0,188.33,55.38,60.66,60.36,180.02,65.66,129.0802,17.12,41.53,49.25,26.45,134.28,55.65,73.43,80.39,81.62,232.42,24.16,18.21,111.04,42.45,63.95,30.99,71.86,40.57,60.99,528.81,59.22,232.55,29.45,247.29,121.15,224.06,162.19,58.27,62.1,23.99,16.7,265.27,168.03,115.16,568.35,186.42,76.48,12.35,351.84,27.51,122.7235,58.62,59.99,45.37,36.05,35.49,11.45,60.15,34.05,45.87,9.88,11.17,296.27,24.28,17.37,7.48,11.78,247.97,151.77,101.63,52.97,390.84,126.1,20.64,84.34,108.63,13.03,30.07,50.78,42.77,123.73,70.0,130.3,184.96,86.24,20.33,42.0,62.99,600.98,177.41,170.54,50.86,25.8,40.22,98.37,18.97,107.17
2018-01-09,845.7323,4892.0,92.82,40.31,327.21,138.0,186.78,55.38,67.56,60.19,183.91,71.79,130.519,16.95,41.13,49.25,26.08,133.18,56.94,73.24,81.18,81.35,233.47,24.16,18.39,111.04,42.53,63.95,30.99,72.94,39.84,59.96,545.41,60.51,250.08,29.42,254.56,122.93,220.97,168.37,58.54,62.1,23.92,16.95,277.1,165.29,114.35,561.56,184.93,75.31,12.42,352.96,27.08,121.7176,58.18,60.47,45.54,35.68,35.72,11.3,60.13,33.92,46.87,9.88,11.17,302.76,24.17,17.4,7.54,12.68,248.4,159.96,101.63,52.97,391.5,125.21,21.0,86.85,108.17,12.86,30.8,51.21,42.63,123.94,68.96,131.93,185.38,85.13,20.39,41.73,62.99,600.98,180.38,179.82,50.38,25.68,40.08,102.81,18.71,108.65
2018-01-10,850.9528,4887.88,93.59,40.68,327.21,138.0,187.22,54.79,64.65,59.95,180.63,69.32,129.9024,16.87,41.66,49.25,25.86,132.49,56.57,73.0,80.67,80.96,233.04,24.16,18.37,111.04,41.96,63.95,30.99,76.03,39.78,59.36,535.69,59.22,245.82,29.92,250.77,122.75,217.24,168.95,58.18,62.1,23.7,17.31,270.0,164.23,113.48,572.77,180.86,75.52,12.63,355.18,27.08,122.12,57.89,60.47,45.96,35.74,35.53,11.68,59.97,33.84,46.26,9.59,11.17,301.46,24.28,17.27,7.49,12.65,256.09,158.36,100.79,52.97,391.5,127.07,20.74,86.19,109.93,12.69,29.79,51.75,42.1,123.32,68.49,130.63,203.16,85.13,20.14,41.47,62.4,611.7,175.92,180.67,50.13,25.8,39.94,102.31,18.47,111.67
2018-01-11,875.098,4881.02,90.83,39.85,327.21,138.0,185.46,51.64,64.22,59.0,180.22,67.49,130.519,16.61,41.13,49.25,25.31,140.73,55.75,72.34,78.02,81.09,237.27,24.16,18.23,111.04,42.0,63.95,30.99,73.51,39.33,57.73,531.18,58.79,245.82,29.19,248.24,120.98,211.49,164.91,57.35,62.1,23.73,16.78,268.82,164.87,113.58,562.03,181.06,73.92,12.74,348.88,26.54,121.3152,57.23,59.79,46.09,35.98,34.97,11.65,58.44,33.42,46.03,9.48,11.17,299.51,25.78,17.14,7.45,12.72,257.89,157.83,98.14,52.97,387.52,126.52,20.44,87.61,106.58,12.43,29.47,52.86,41.56,122.5,68.4,129.0,201.75,85.96,20.39,41.87,61.22,611.41,175.92,177.8,50.86,25.68,39.9,100.57,18.12,109.87
2018-01-12,877.7083,4819.23,89.81,39.67,327.21,138.0,189.21,51.86,62.6,59.34,181.66,66.79,136.8908,16.77,41.27,49.25,25.58,160.09,54.33,72.45,78.23,81.22,235.6,24.16,18.21,111.04,41.67,63.95,30.99,72.58,39.61,59.01,531.89,55.36,245.82,28.96,247.61,118.74,213.04,164.91,58.09,62.1,24.12,16.64,273.31,165.29,114.44,571.35,183.05,77.87,12.4,346.29,28.83,119.7057,57.38,59.72,45.41,35.61,35.27,11.56,59.85,33.49,45.65,9.5,11.17,296.91,24.46,17.17,7.47,12.89,256.22,154.98,99.13,52.97,384.53,123.56,20.35,85.65,109.14,12.62,29.81,52.13,42.59,125.59,69.25,129.49,203.16,86.1,20.45,41.6,61.81,609.4,169.6,177.12,50.62,25.52,39.99,100.12,18.28,109.16
2018-01-15,881.6237,4920.83,90.14,40.31,327.21,138.0,192.08,51.79,63.14,60.63,178.18,74.75,137.5074,16.74,41.13,49.25,25.1,152.54,54.51,72.11,77.73,81.22,236.57,24.16,18.19,111.04,41.31,63.95,30.99,71.43,39.55,57.64,527.63,56.52,246.6,29.04,250.13,119.09,210.86,161.45,57.45,62.1,24.5,16.65,270.47,165.29,112.76,563.77,178.78,76.8,12.58,352.96,27.65,121.7176,58.18,59.03,45.96,35.63,34.86,11.68,59.15,33.36,45.76,9.33,11.17,295.62,24.28,17.08,7.45,13.09,263.52,155.69,98.14,58.27,389.18,123.27,20.31,83.8,107.32,12.69,30.28,50.93,42.28,125.18,68.87,130.46,204.71,85.27,20.45,41.34,61.81,613.23,170.71,176.45,51.47,25.3,39.62,100.51,18.12,109.1
