trade_dt,000002.SZ,000004.SZ,000006.SZ,000008.SZ,000010.SZ,000012.SZ,000014.SZ,000016.SZ,000018.SZ,000020.SZ,000022.SZ,000024.SZ,600000.SH,600002.SH,600004.SH,600006.SH,600008.SH,600010.SH,600012.SH,600014.SH,600016.SH,600018.SH,600020.SH,600022.SH
2025-11-18,1243939797.4862828,1131273261.1595988,1159142877.7948189,1253122657.9792855,1147694615.3434927,1110183744.596061,1344177889.1320915,1215351384.7450197,1064621744.9181678,1050501651.9659219,1334366572.0783296,1038184763.307125,924001589.3759503,1053007408.9013747,1107984352.3037472,978112215.1756659,1109716074.4053764,1036151451.5490578,995267957.680765,921123694.5677148,1094464273.9820313,1059861332.0775614,1065938250.1363856,1165655710.1475487
2025-11-19,1407747403.7533922,1302924711.2028298,1095216988.9626257,1230014340.3391612,1008327821.7521417,1154654581.5859206,1187278209.287626,1126905633.8478205,1071142605.5560658,1123627417.9328554,1214116725.5732114,1066559964.7801266,1161739810.7442741,992585355.9932203,1093314292.1571763,1073649426.1673307,1049651173.1934038,1176004459.4698958,1241077469.1138644,1081389028.5372694,1174339386.4353495,1096230056.9043174,1057824143.205868,1256943389.972774
2025-11-20,1137075565.9063597,1123307037.2618256,1178385153.2734358,1151132694.4453588,1193947747.3015738,1111822952.2555828,1254684964.089905,1168035169.2577982,1141439648.2630658,1223444721.6941237,1117934757.8430257,1183956114.2476478,1075469708.8463202,1096337711.318247,1385723116.2429516,1024959241.8835796,909749654.3959103,957230434.4285442,1089343422.489583,936773732.9422164,990517751.474221,976824085.1820734,1067527611.1588262,940721966.9070511
2025-11-21,1069095275.2135217,1173580789.6314337,1167205365.3139892,1180635320.8204703,1069983908.0873768,1327759452.2434316,1218079140.8002107,1363756116.664464,985495467.2030848,1123320402.2852125,1129373799.4976962,1153857591.4511807,854932839.4492781,887434778.3984482,1139867708.1362715,1017493934.8809298,957771971.835267,1126700828.1944473,1281604868.3555427,1175062512.0952656,1010968446.1076853,1163723119.4810524,1032238914.457488,1218547447.2642834
2025-11-24,1228428267.7456229,1006696327.7203989,1078991958.0994828,1165028020.3579621,1212935915.6957111,1047765601.9309199,1230336980.6032686,1197076418.7911544,1075217331.8657534,1043208236.2675686,1172964775.457401,1106311430.129609,1036398100.3314453,1152764960.98483,1038435793.0073881,1094941340.712572,1118954688.6035602,929757121.9860071,1157381806.9377425,991720984.1275355,1098515853.710239,1105556174.7735538,1054192588.7372656,1327405018.1457458
2025-11-25,1221324488.3281226,1160072315.6859586,1048417063.7825148,950038927.3248782,1042231582.984043,1162862709.5302832,1380048460.0783026,1112644601.8629644,957723156.7729005,940061676.469439,1228208153.4581752,1151044630.026076,1171530015.6645439,1215918550.2981632,1202203129.7240574,973414732.3823358,1078405783.1271565,1004825058.2315351,1136380229.541881,974943637.9594408,1177098257.6900876,1269698083.2198043,1217964804.1931012,1122025055.0881135
2025-11-26,1217427043.8357065,1013949115.1928636,1343074552.7218325,1144378789.6216536,1181570261.6229186,1093744217.9888177,1142115125.6074963,1249465952.8447785,1302577979.1881683,1194855324.2465315,1173458443.702388,1069370508.4418994,1053764042.0921161,1138457030.1584837,1266202890.297949,968771461.8597925,1097694778.5695372,1029534897.2456049,1135601522.450357,1042802218.7025877,840438117.565493,1130579010.8222163,817958524.2662147,1179731472.4674354
2025-11-27,1124482561.0114777,1164922292.7200854,934408641.1398449,1216150868.5536804,1045355774.6729807,1126231530.6565342,949570210.6211323,1248839401.1238713,959986444.6275694,1067939955.3161936,1399460655.0026433,1138659671.0277693,1041234650.6402673,1040961157.6643888,1168334117.5348098,927316791.7832559,1044697412.3793787,939240623.0955114,990301336.0673925,1148451516.0929966,1189629696.9180894,1133067959.7299266,1029860449.7856199,1136656170.1631408
2025-11-28,1011802126.4359987,1028105344.7408637,1352956897.0096393,1022798699.7758546,991908407.4104818,1212455841.1983979,1185098551.3527527,1044303794.2248868,1250891454.208277,1037840606.5718395,870284011.9302934,1085640788.1480665,1140735476.1642423,1108658315.4190254,1074379968.3356566,929856895.3982744,1027269456.9744976,1063017694.3191934,1056267239.7948725,975845727.9217154,1098922183.0537937,1035644027.0565283,1105910501.8464851,989849546.9451362
2025-12-01,1356096310.1590154,1081138605.4746833,1043012438.4525131,1207185441.5295005,1105001364.6132398,1177459284.255838,1002978667.8913183,1055386996.3291209,1151876395.0347443,1145634303.434073,1268846206.7244298,1219656935.5856788,900538159.7984494,1029363386.4134824,1002682883.8761896,1050786763.7080727,1125879736.8366191,1176824660.6879911,1178225665.9647417,1136455068.2239332,1238240722.5360472,1070618050.2781289,1099514568.194483,1213909483.4023573
